X,Y,OBJECTID,LOC_NAME,PARK_ID,URL,SHORT_NAME,REGION,PARK_TYPE,GIS_ACRES
678862.4051,4322911.4826,1011,Cuivre River State Park,4206,http://mostateparks.com/park/cuivre-river-state-park,Cuivre River SP,Eastern Region,State Park,6363.54980468
557542.6957,4308085.5913,1012,Jewell Cemetery State Historic Site,4125,http://mostateparks.com/park/jewell-cemetery-state-historic-site,Jewell Cemetery SHS,Northern Region,State Historic Site,0.43820598
559182.7351,4302938.9137,1013,Rock Bridge Memorial State Park,4113,http://mostateparks.com/park/rock-bridge-memorial-state-park,Rock Bridge SP,Northern Region,State Park,2131.88989257
447542.4609,4288571.1898,1014,Knob Noster State Park,4304,http://mostateparks.com/park/knob-noster-state-park,Knob Noster SP,Northern Region,State Park,3631.11010742
572263.6492,4270343.5681,1015,Jefferson Landing State Historic Site,4310,http://mostateparks.com/park/missouri-state-museum,Missouri State Museum,Northern Region,State Historic Site,2.69693994
472697.5862,4048843.354,1016,Table Rock State Park,9005,http://mostateparks.com/park/table-rock-state-park,Table Rock SP,Ozark Region,State Park,368.6000061
830592.4509,4062021.3525,1017,Big Oak Tree State Park,4203,http://mostateparks.com/park/big-oak-tree-state-park,Big Oak Tree SP,Eastern Region,State Park,1043.32995605
811174.1497,4151431.5954,1018,Trail of Tears State Park,4220,http://mostateparks.com/park/trail-tears-state-park,Trail of Tears SP,Eastern Region,State Park,3484.66992187
708463.7422,4166179.0823,1019,Battle of Pilot Knob State Historic Site,4226,http://mostateparks.com/park/battle-pilot-knob-state-historic-site,Battle of Pilot Knob SHS,Eastern Region,State Historic Site,71.78759765
514038.9012,4173042.956,1020,Bennett Spring State Park,4301,http://mostateparks.com/park/bennett-spring-state-park,Bennett Spring SP,Ozark Region,State Park,2983.80004882
472490.625,4192794.0,1021,Pomme de Terre State Park,9007,http://mostateparks.com/park/pomme-de-terre-state-park,Pomme De Terre SP,Ozark Region,State Park,756.79101562
702404.6565,4217732.8548,1022,Washington State Park,4221,http://mostateparks.com/park/washington-state-park,Washington SP,Eastern Region,State Park,2150.17993164
535633.8694,4216894.1847,1023,Lake of the Ozarks State Park,4305,http://mostateparks.com/park/lake-ozarks-state-park,Lake of The Ozarks SP,Ozark Region,State Park,21143.19921875
666348.483,4230604.5907,1024,Meramec State Park,4214,http://mostateparks.com/park/meramec-state-park,Meramec SP,Eastern Region,State Park,6672.85986328
716221.003,4240487.8085,1025,Sandy Creek Covered Bridge State Historic Site,4222,http://mostateparks.com/park/sandy-creek-covered-bridge-state-historic-site,Sandy Creek Covered Bridge SHS,Eastern Region,State Historic Site,208.09599304
602634.7077,4371633.347,1026,Mark Twain State Park,4110,http://mostateparks.com/park/mark-twain-state-park,Mark Twain SP,Northern Region,State Park,2565.1899414
384793.2856,4114942.1499,1027,Battle of Carthage State Historic Site,4312,http://mostateparks.com/park/battle-carthage-state-historic-site,Battle of Carthage SHS,Ozark Region,State Historic Site,7.98207998
742721.1849,4189547.0255,1028,Hawn State Park,4211,http://mostateparks.com/park/hawn-state-park,Hawn SP,Eastern Region,State Park,5012.99023437
323258.696,4378364.7613,1029,Lewis and Clark State Park,4108,http://mostateparks.com/park/lewis-and-clark-state-park,Lewis & Clark SP,Northern Region,State Park,179.58000183
719164.4457,4190762.2186,1030,Missouri Mines State Historic Site,4228,http://mostateparks.com/park/missouri-mines-state-historic-site,Missouri Mines SHS,Eastern Region,State Historic Site,36.72309875
719856.326,4187382.3136,1031,St. Joe State Park,4217,http://mostateparks.com/park/st-joe-state-park,St Joe SP,Eastern Region,State Park,8330.38964843
627060.6183,4429376.3377,1032,Wakonda State Park,4116,http://mostateparks.com/park/wakonda-state-park,Wakonda SP,Northern Region,State Park,1032.63000488
391648.0218,4362450.7784,1033,Watkins Woolen Mill State Park and Historic Site,4127,http://mostateparks.com/park/watkins-mill-state-park,Watkins Mill SP,Northern Region,State Park,1530.63000488
